ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P100;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;100;1000;1;0,34;41
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P100;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;100;1000;2;0,32;10
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P100;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;100;1000;3;0,41;3
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P100;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;100;1000;4;0,34;3
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;1;1,00;10
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;2;1,25;4
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;3;0,90;8
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;4;1,05;4
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;1;0,64;4
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;2;0,40;5
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;3;0,31;3
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;4;0,48;5
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;1;0,86;7
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;2;1,32;6
